calBP,PrDens,lo,hi,logFit2,PhaseID,CompID,BRMspd,MeanFCRArea
12500,0,0.000141329,0.001435779,0.004198357,Expansion,Component I,0,-0.5
12499,0,0.000164134,0.001522583,0.004201618,Expansion,Component I,0,-0.5
12498,0,0.000187738,0.001610111,0.004204882,Expansion,Component I,0,-0.5
12497,0,0.000218602,0.001696673,0.004208148,Expansion,Component I,0,-0.5
12496,0,0.00024544,0.001796949,0.004211416,Expansion,Component I,0,-0.5
12495,0,0.000275066,0.001887361,0.004214686,Expansion,Component I,0,-0.5
12494,0,0.000302207,0.001991191,0.004217959,Expansion,Component I,0,-0.5
12493,0,0.000334223,0.00207823,0.004221234,Expansion,Component I,0,-0.5
12492,0,0.000368163,0.002180903,0.004224511,Expansion,Component I,0,-0.5
12491,0,0.000413337,0.002272839,0.00422779,Expansion,Component I,0,-0.5
12490,0,0.000453108,0.002371187,0.004231071,Expansion,Component I,0,-0.5
12489,0,0.00049145,0.002470633,0.004234354,Expansion,Component I,0,-0.5
12488,0,0.000548237,0.002595443,0.00423764,Expansion,Component I,0,-0.5
12487,0,0.000601666,0.002702733,0.004240928,Expansion,Component I,0,-0.5
12486,0,0.000666253,0.002869216,0.004244218,Expansion,Component I,0,-0.5
12485,0,0.000740229,0.003017528,0.004247511,Expansion,Component I,0,-0.5
12484,0,0.000788142,0.00319726,0.004250805,Expansion,Component I,0,-0.5
12483,0,0.000858815,0.003356936,0.004254102,Expansion,Component I,0,-0.5
12482,0,0.000934125,0.003550019,0.004257401,Expansion,Component I,0,-0.5
12481,0,0.00101499,0.00373219,0.004260702,Expansion,Component I,0,-0.5
12480,0,0.001097432,0.003917699,0.004264005,Expansion,Component I,0,-0.5
12479,0,0.001158638,0.004119642,0.004267311,Expansion,Component I,0,-0.5
12478,0,0.001262863,0.00434531,0.004270619,Expansion,Component I,0,-0.5
12477,0,0.001349643,0.004559053,0.004273929,Expansion,Component I,0,-0.5
12476,0,0.001432542,0.004752668,0.004277241,Expansion,Component I,0,-0.5
12475,0,0.001516452,0.005001241,0.004280555,Expansion,Component I,0,-0.5
12474,0,0.001590978,0.005140086,0.004283872,Expansion,Component I,0,-0.5
12473,0,0.001675204,0.005379077,0.004287191,Expansion,Component I,0,-0.5
12472,0,0.001747043,0.005512746,0.004290512,Expansion,Component I,0,-0.5
12471,0,0.001820509,0.00571882,0.004293835,Expansion,Component I,0,-0.5
12470,0,0.001901853,0.005912742,0.004297161,Expansion,Component I,0,-0.5
12469,0,0.001967343,0.00603247,0.004300488,Expansion,Component I,0,-0.5
12468,0,0.002033378,0.006058166,0.004303818,Expansion,Component I,0,-0.5
12467,0,0.002088144,0.006148285,0.00430715,Expansion,Component I,0,-0.5
12466,0,0.002151479,0.006209758,0.004310485,Expansion,Component I,0,-0.5
12465,0,0.00223108,0.006319674,0.004313821,Expansion,Component I,0,-0.5
12464,0,0.002274603,0.006382978,0.00431716,Expansion,Component I,0,-0.5
12463,0,0.002322052,0.006412513,0.004320501,Expansion,Component I,0,-0.5
12462,0,0.002365311,0.00645235,0.004323844,Expansion,Component I,0,-0.5
12461,0,0.002408539,0.00651834,0.00432719,Expansion,Component I,0,-0.5
12460,0,0.002488661,0.006595708,0.004330538,Expansion,Component I,0,-0.5
12459,0,0.002503205,0.006641824,0.004333888,Expansion,Component I,0,-0.5
12458,0,0.002509586,0.006683956,0.00433724,Expansion,Component I,0,-0.5
12457,0,0.002567162,0.006759057,0.004340594,Expansion,Component I,0,-0.5
12456,0,0.002574458,0.006778156,0.004343951,Expansion,Component I,0,-0.5
12455,0,0.002623736,0.006847013,0.00434731,Expansion,Component I,0,-0.5
12454,0,0.002643101,0.006904243,0.004350671,Expansion,Component I,0,-0.5
12453,0,0.002660724,0.006913782,0.004354034,Expansion,Component I,0,-0.5
12452,0,0.002653951,0.006962977,0.0043574,Expansion,Component I,0,-0.5
12451,0,0.002435491,0.005699049,0.004360767,Expansion,Component I,0,-0.5
12450,0,0.002462654,0.005765491,0.004364137,Expansion,Component I,0,-0.5
12449,0,0.002490096,0.00583151,0.00436751,Expansion,Component I,0,-0.5
12448,0,0.002509729,0.005897189,0.004370884,Expansion,Component I,0,-0.5
12447,0,0.002530499,0.00596241,0.004374261,Expansion,Component I,0,-0.5
12446,0,0.002557847,0.006027031,0.00437764,Expansion,Component I,0,-0.5
12445,0,0.002584051,0.006090889,0.004381021,Expansion,Component I,0,-0.5
12444,0,0.002602044,0.006150873,0.004384405,Expansion,Component I,0,-0.5
12443,0,0.002611229,0.006207478,0.00438779,Expansion,Component I,0,-0.5
12442,0,0.002619722,0.006263593,0.004391178,Expansion,Component I,0,-0.5
12441,0,0.002638012,0.006318188,0.004394568,Expansion,Component I,0,-0.5
12440,0,0.00266154,0.006371192,0.004397961,Expansion,Component I,0,-0.5
12439,0,0.002684549,0.006423096,0.004401356,Expansion,Component I,0,-0.5
12438,0,0.002706945,0.006469162,0.004404753,Expansion,Component I,0,-0.5
12437,0,0.002719432,0.006499688,0.004408152,Expansion,Component I,0,-0.5
12436,0,0.002723186,0.006533194,0.004411553,Expansion,Component I,0,-0.5
12435,0,0.002726833,0.006582821,0.004414957,Expansion,Component I,0,-0.5
12434,0,0.002730845,0.006623488,0.004418363,Expansion,Component I,0,-0.5
12433,0,0.002736282,0.006652863,0.004421771,Expansion,Component I,0,-0.5
12432,0,0.002754283,0.006695624,0.004425181,Expansion,Component I,0,-0.5
12431,0,0.002771837,0.00674561,0.004428594,Expansion,Component I,0,-0.5
12430,0,0.002789023,0.006794571,0.004432009,Expansion,Component I,0,-0.5
12429,0,0.002805519,0.006842341,0.004435426,Expansion,Component I,0,-0.5
12428,0,0.002821281,0.00688082,0.004438846,Expansion,Component I,0,-0.5
12427,0,0.002836263,0.006915497,0.004442267,Expansion,Component I,0,-0.5
12426,0,0.002850411,0.006947815,0.004445691,Expansion,Component I,0,-0.5
12425,0,0.002863688,0.006977697,0.004449118,Expansion,Component I,0,-0.5
12424,0,0.00287618,0.007005733,0.004452546,Expansion,Component I,0,-0.5
12423,0,0.002887849,0.00702652,0.004455977,Expansion,Component I,0,-0.5
12422,0,0.002892165,0.007042107,0.00445941,Expansion,Component I,0,-0.5
12421,0,0.002895181,0.007056037,0.004462845,Expansion,Component I,0,-0.5
12420,0,0.002890546,0.00707266,0.004466283,Expansion,Component I,0,-0.5
12419,0,0.002893536,0.007111942,0.004469722,Expansion,Component I,0,-0.5
12418,0,0.002903245,0.007137845,0.004473165,Expansion,Component I,0,-0.5
12417,0,0.002912548,0.007154925,0.004476609,Expansion,Component I,0,-0.5
