calBP,PrDens,PerCap,lo,hi,logFit3,PhaseID,CompID,BRMspd,MeanFCRArea
3340,0.126687474,0.001379699,0.085442963,0.157116358,0.12024368,Expansion,Component III,0.018785706,1.54
3339,0.126851208,0.00129159,0.085347166,0.157432565,0.120251102,Expansion,Component III,0.018751001,1.54
3338,0.126995714,0.001138531,0.085243942,0.157687026,0.120258545,Expansion,Component III,0.018715566,1.54
3337,0.127115173,0.000940208,0.085140673,0.157874778,0.120266008,Expansion,Component III,0.018679431,1.54
3336,0.127214867,0.000783974,0.085012572,0.158059674,0.120273493,Expansion,Component III,0.018642632,1.54
3335,0.127291757,0.000604229,0.084529628,0.158287313,0.120280998,Expansion,Component III,0.018605516,1.54
3334,0.127352491,0.000477009,0.084198465,0.158682442,0.120288525,Expansion,Component III,0.018568149,1.54
3333,0.127396934,0.000348916,0.083978891,0.159229446,0.120296073,Expansion,Component III,0.018530292,1.54
3332,0.127428746,0.000249677,0.083824279,0.15974767,0.120303641,Expansion,Component III,0.018491897,1.54
3331,0.127451061,0.000175099,0.083841998,0.159988527,0.120311231,Expansion,Component III,0.018453055,1.54
3330,0.127465993,0.000117154,0.083861183,0.160158707,0.120318843,Expansion,Component III,0.018414061,1.54
3329,0.127475978,7.83E-05,0.083880316,0.160319693,0.120326475,Expansion,Component III,0.018375371,1.54
3328,0.127484589,6.75E-05,0.08390073,0.160606268,0.120334129,Expansion,Component III,0.01833722,1.54
3327,0.127496212,9.12E-05,0.083923803,0.160890269,0.120341804,Expansion,Component III,0.018299575,1.54
3326,0.127513163,0.000132947,0.083950989,0.161154266,0.120349501,Expansion,Component III,0.018262883,1.54
3325,0.127535165,0.000172532,0.083979518,0.161410408,0.12035722,Expansion,Component III,0.018226616,1.54
3324,0.127564276,0.000228235,0.083915975,0.161648662,0.12036496,Expansion,Component III,0.018190942,1.54
3323,0.12760168,0.000293171,0.083428896,0.161860362,0.120372721,Expansion,Component III,0.018156079,1.54
3322,0.127646296,0.000349592,0.083437768,0.162220592,0.120380504,Expansion,Component III,0.01812268,1.54
3321,0.127707375,0.000478381,0.083609654,0.162567415,0.12038831,Expansion,Component III,0.018090458,1.54
3320,0.127780342,0.000571203,0.083604987,0.162397248,0.120396136,Expansion,Component III,0.018059336,1.54
3319,0.127865485,0.000666096,0.083477244,0.162609746,0.120403985,Expansion,Component III,0.018029279,1.54
3318,0.12796206,0.000755007,0.083300722,0.162982122,0.120411856,Expansion,Component III,0.018000994,1.54
3317,0.128066415,0.000815178,0.083140194,0.163322791,0.120419749,Expansion,Component III,0.017974749,1.54
3316,0.128178427,0.000874258,0.082995854,0.16363791,0.120427664,Expansion,Component III,0.017949993,1.54
3315,0.128297836,0.000931149,0.082863804,0.163934285,0.120435601,Expansion,Component III,0.017927602,1.54
3314,0.128425429,0.000994013,0.082749338,0.164202702,0.12044356,Expansion,Component III,0.017907849,1.54
3313,0.128559896,0.001046496,0.08264755,0.16446053,0.120451541,Expansion,Component III,0.017889796,1.54
3312,0.128701363,0.001099794,0.082563434,0.164731278,0.120459545,Expansion,Component III,0.01787438,1.54
3311,0.128848742,0.001144472,0.082395977,0.164876884,0.120467571,Expansion,Component III,0.017860707,1.54
3310,0.129001394,0.001184037,0.082345573,0.165053468,0.12047562,Expansion,Component III,0.017848135,1.54
3309,0.129151421,0.001162312,0.082299334,0.165214824,0.120483691,Expansion,Component III,0.017837455,1.54
3308,0.129308124,0.001212588,0.082258726,0.165353298,0.120491784,Expansion,Component III,0.017827861,1.54
3307,0.129466738,0.001225889,0.08222386,0.165472364,0.120499901,Expansion,Component III,0.017819605,1.54
3306,0.129626174,0.001230722,0.082196655,0.16557136,0.12050804,Expansion,Component III,0.017811728,1.54
3305,0.129787971,0.0012474,0.082176282,0.165641454,0.120516201,Expansion,Component III,0.017805186,1.54
3304,0.129951908,0.00126232,0.082161679,0.165694551,0.120524386,Expansion,Component III,0.017799303,1.54
3303,0.130114248,0.001248454,0.082154853,0.165732933,0.120532593,Expansion,Component III,0.017794674,1.54
3302,0.130278894,0.001264596,0.082153225,0.165974299,0.120540823,Expansion,Component III,0.017791179,1.54
3301,0.130440464,0.001239412,0.08211838,0.166317774,0.120549077,Expansion,Component III,0.017787967,1.54
3300,0.13059782,0.00120562,0.082082911,0.166661411,0.120557353,Expansion,Component III,0.017785609,1.54
3299,0.130753331,0.001190055,0.082057885,0.166825281,0.120565652,Expansion,Component III,0.017783984,1.54
3298,0.130902724,0.001141901,0.082059877,0.166909651,0.120573975,Expansion,Component III,0.017783909,1.54
3297,0.131047079,0.001102159,0.082165035,0.166987021,0.120582321,Expansion,Component III,0.01778436,1.54
3296,0.131186432,0.001062814,0.082273724,0.167245162,0.12059069,Expansion,Component III,0.01778613,1.54
3295,0.131317713,0.001000223,0.082127993,0.167242168,0.120599082,Expansion,Component III,0.017788217,1.54
3294,0.131442465,0.000949553,0.081981836,0.167166455,0.120607498,Expansion,Component III,0.017791544,1.54
3293,0.131557468,0.000874547,0.081983002,0.167217845,0.120615938,Expansion,Component III,0.017796538,1.54
3292,0.131665851,0.000823502,0.082091388,0.167268389,0.120624401,Expansion,Component III,0.017802035,1.54
3291,0.131768649,0.000780445,0.082340641,0.167313503,0.120632887,Expansion,Component III,0.017809102,1.54
3290,0.131862474,0.000711788,0.082102125,0.167342647,0.120641398,Expansion,Component III,0.017816774,1.54
3289,0.131950593,0.000668047,0.082158778,0.167361304,0.120649932,Expansion,Component III,0.017826557,1.54
3288,0.132029777,0.000599922,0.082262441,0.167369454,0.12065849,Expansion,Component III,0.01783734,1.54
3287,0.132094014,0.000486411,0.082374178,0.167371309,0.120667071,Expansion,Component III,0.017849127,1.54
3286,0.132147022,0.000401212,0.082494325,0.167367207,0.120675677,Expansion,Component III,0.017862048,1.54
3285,0.132190081,0.000325793,0.082615611,0.167359206,0.120684307,Expansion,Component III,0.017876119,1.54
3284,0.132222831,0.000247713,0.082650114,0.167346772,0.120692961,Expansion,Component III,0.017891338,1.54
3283,0.132246053,0.000175614,0.082600947,0.167330635,0.120701638,Expansion,Component III,0.017906788,1.54
3282,0.132261306,0.000115329,0.082559827,0.167310008,0.120710341,Expansion,Component III,0.017922607,1.54
3281,0.1322804,0.000144358,0.082525917,0.16728846,0.120719067,Expansion,Component III,0.0179377,1.54
3280,0.132292181,8.91E-05,0.082501104,0.167264226,0.120727818,Expansion,Component III,0.017953177,1.54
3279,0.13230489,9.61E-05,0.082480446,0.167240126,0.120736593,Expansion,Component III,0.017966809,1.54
3278,0.132316195,8.54E-05,0.08246571,0.167214409,0.120745392,Expansion,Component III,0.017979896,1.54
3277,0.132327167,8.29E-05,0.082456467,0.167187385,0.120754217,Expansion,Component III,0.017991112,1.54
3276,0.132338784,8.78E-05,0.082487462,0.167159329,0.120763065,Expansion,Component III,0.018001544,1.54
3275,0.132348259,7.16E-05,0.082507253,0.167132153,0.120771939,Expansion,Component III,0.018010159,1.54
3274,0.132356129,5.95E-05,0.082473791,0.167106194,0.120780837,Expansion,Component III,0.018016627,1.54
3273,0.132366863,8.11E-05,0.082452029,0.167133136,0.12078976,Expansion,Component III,0.018020915,1.54
3272,0.132376111,6.99E-05,0.082458883,0.167167406,0.120798708,Expansion,Component III,0.018023279,1.54
3271,0.13238534,6.97E-05,0.082449321,0.167165076,0.12080768,Expansion,Component III,0.018023618,1.54
3270,0.132399132,0.000104177,0.082401941,0.167038257,0.120816678,Expansion,Component III,0.018023028,1.54
3269,0.132414398,0.000115294,0.08235966,0.167005828,0.120825701,Expansion,Component III,0.018021717,1.54
3268,0.132435022,0.000155741,0.08233401,0.167022934,0.120834749,Expansion,Component III,0.018019505,1.54
3267,0.132458744,0.000179108,0.082444758,0.167039696,0.120843822,Expansion,Component III,0.018016272,1.54
3266,0.132494643,0.000270986,0.082544694,0.167051051,0.12085292,Expansion,Component III,0.018013039,1.54
3265,0.132544369,0.000375231,0.082571838,0.167056424,0.120862044,Expansion,Component III,0.018009658,1.54
3264,0.132600182,0.000421005,0.082600995,0.167061514,0.120871193,Expansion,Component III,0.018007074,1.54
3263,0.132678922,0.000593639,0.082639801,0.167057641,0.120880368,Expansion,Component III,0.018005282,1.54
3262,0.132776254,0.000733321,0.082686455,0.167025678,0.120889568,Expansion,Component III,0.018005467,1.54
3261,0.132902681,0.000951726,0.082746135,0.166831983,0.120898794,Expansion,Component III,0.018007434,1.54
3260,0.133058536,0.001172013,0.082820212,0.166647813,0.120908045,Expansion,Component III,0.018011491,1.54
3259,0.133243874,0.001391934,0.082904147,0.166569245,0.120917323,Expansion,Component III,0.018017692,1.54
3258,0.133465499,0.001661925,0.082909623,0.16643494,0.120926626,Expansion,Component III,0.018025932,1.54
3257,0.133711249,0.001839603,0.082920006,0.166189674,0.120935955,Expansion,Component III,0.018036447,1.54
3256,0.133971938,0.001947745,0.083161889,0.16617538,0.12094531,Expansion,Component III,0.018049074,1.54
3255,0.134245799,0.002042083,0.083450255,0.166144465,0.120954691,Expansion,Component III,0.018065228,1.54
3254,0.13451213,0.001981938,0.083630412,0.166004999,0.120964098,Expansion,Component III,0.018083596,1.54
3253,0.134778402,0.001977586,0.083759463,0.16585259,0.120973531,Expansion,Component III,0.01810304,1.54
3252,0.13504287,0.001960315,0.083858058,0.165679461,0.120982991,Expansion,Component III,0.018124767,1.54
3251,0.135304963,0.001938932,0.084210223,0.165320204,0.120992476,Expansion,Component III,0.018147431,1.54
3250,0.135567102,0.001935519,0.084401169,0.164945261,0.121001989,Expansion,Component III,0.018169589,1.54
3249,0.135828318,0.001924989,0.084582524,0.164574481,0.121011527,Expansion,Component III,0.018191352,1.54
3248,0.136088686,0.001915057,0.084724604,0.164204945,0.121021092,Expansion,Component III,0.018211632,1.54
3247,0.136347809,0.00190226,0.084771768,0.163833808,0.121030684,Expansion,Component III,0.018228939,1.54
3246,0.136601745,0.001860685,0.084965731,0.163469987,0.121040303,Expansion,Component III,0.01824328,1.54
3245,0.136853792,0.001843418,0.085203235,0.163107005,0.121049948,Expansion,Component III,0.01825202,1.54
3244,0.13709743,0.0017787,0.085349938,0.162752536,0.12105962,Expansion,Component III,0.018256664,1.54
3243,0.137332357,0.001712113,0.085531397,0.162406541,0.121069319,Expansion,Component III,0.018256312,1.54
3242,0.137562541,0.001674706,0.085710774,0.162383086,0.121079045,Expansion,Component III,0.018252692,1.54
3241,0.137782583,0.001598295,0.085886145,0.162443003,0.121088797,Expansion,Component III,0.018245571,1.54
3240,0.138004865,0.00161198,0.086067172,0.162612978,0.121098577,Expansion,Component III,0.01823512,1.54
3239,0.138226706,0.001606197,0.08593171,0.162772996,0.121108385,Expansion,Component III,0.018222578,1.54
3238,0.138462846,0.001706893,0.085755346,0.162728118,0.121118219,Expansion,Component III,0.018207911,1.54
3237,0.13871917,0.001849505,0.085709453,0.162820441,0.121128081,Expansion,Component III,0.018192132,1.54
3236,0.1389929,0.001971324,0.08548731,0.16296075,0.12113797,Expansion,Component III,0.018176096,1.54
3235,0.13928378,0.002090577,0.085568563,0.16311169,0.121147886,Expansion,Component III,0.018159782,1.54
3234,0.139597404,0.002249158,0.085645111,0.163478592,0.121157831,Expansion,Component III,0.018144544,1.54
3233,0.139933537,0.00240498,0.085716794,0.163599561,0.121167802,Expansion,Component III,0.018130218,1.54
3232,0.14028624,0.002517339,0.085555258,0.163558684,0.121177802,Expansion,Component III,0.018117792,1.54
3231,0.140654088,0.002618692,0.085479452,0.163521556,0.121187829,Expansion,Component III,0.018107365,1.54
3230,0.141032923,0.002689759,0.085368682,0.163477126,0.121197884,Expansion,Component III,0.018100083,1.54
3229,0.141421951,0.002754622,0.085014417,0.163288999,0.121207967,Expansion,Component III,0.018096335,1.54
3228,0.141817019,0.002789644,0.084827406,0.163061634,0.121218078,Expansion,Component III,0.01809607,1.54
3227,0.142213932,0.002794861,0.084662894,0.163169307,0.121228217,Expansion,Component III,0.018099736,1.54
3226,0.142612037,0.002795429,0.084743264,0.163284148,0.121238384,Expansion,Component III,0.018108572,1.54
3225,0.143009511,0.002783219,0.084846479,0.163360548,0.12124858,Expansion,Component III,0.018121594,1.54
3224,0.143401092,0.00273441,0.08506195,0.163537769,0.121258803,Expansion,Component III,0.018140061,1.54
3223,0.143785208,0.002675029,0.085221004,0.163976588,0.121269055,Expansion,Component III,0.018162677,1.54
3222,0.144162643,0.002621551,0.085391862,0.164288442,0.121279336,Expansion,Component III,0.018188919,1.54
3221,0.144521261,0.002484504,0.085503234,0.164560917,0.121289645,Expansion,Component III,0.018218843,1.54
3220,0.144862844,0.002360764,0.08529032,0.164830987,0.121299983,Expansion,Component III,0.018253192,1.54
3219,0.145184094,0.002215159,0.085621408,0.165096624,0.121310349,Expansion,Component III,0.018289894,1.54
3218,0.145474891,0.002000948,0.085738295,0.165354767,0.121320744,Expansion,Component III,0.018328531,1.54
3217,0.145734837,0.001785283,0.085735448,0.165598157,0.121331168,Expansion,Component III,0.018369486,1.54
3216,0.14596929,0.001607471,0.085811895,0.165831079,0.12134162,Expansion,Component III,0.018412327,1.54
3215,0.146164749,0.001338151,0.086010657,0.165875122,0.121352102,Expansion,Component III,0.018456644,1.54
3214,0.146313689,0.001018468,0.086213878,0.165593326,0.121362613,Expansion,Component III,0.018502456,1.54
3213,0.146432584,0.000812274,0.086425003,0.166002554,0.121373153,Expansion,Component III,0.018549339,1.54
3212,0.146506311,0.000503356,0.086607958,0.165865576,0.121383722,Expansion,Component III,0.018597611,1.54
3211,0.146550027,0.000298345,0.086860667,0.165595979,0.12139432,Expansion,Component III,0.018646506,1.54
3210,0.146576027,0.000177404,0.087073434,0.165306175,0.121404948,Expansion,Component III,0.018696654,1.54
3209,0.146577517,1.02E-05,0.0872896,0.16502055,0.121415606,Expansion,Component III,0.018747082,1.54
3208,0.146559012,-0.000126255,0.087463015,0.16473018,0.121426292,Expansion,Component III,0.018798016,1.54
3207,0.146524828,-0.000233272,0.087515757,0.164763189,0.121437009,Expansion,Component III,0.018847329,1.54
3206,0.146487475,-0.000254958,0.087414757,0.165022002,0.121447755,Expansion,Component III,0.018896933,1.54
3205,0.146432525,-0.000375188,0.087280212,0.165254178,0.121458531,Expansion,Component III,0.018946834,1.54
3204,0.14637483,-0.000394079,0.087144178,0.165475213,0.121469336,Expansion,Component III,0.018995194,1.54
3203,0.146302844,-0.000491914,0.086906019,0.165737387,0.121480172,Expansion,Component III,0.019044744,1.54
3202,0.146217974,-0.000580268,0.086684385,0.165857127,0.121491037,Expansion,Component III,0.019092752,1.54
3201,0.146135215,-0.000566156,0.086713948,0.165942987,0.121501933,Expansion,Component III,0.01914137,1.54
3200,0.146042645,-0.000633654,0.086660881,0.165892297,0.121512859,Expansion,Component III,0.019190598,1.54
3199,0.145941279,-0.000694329,0.086738718,0.166030023,0.121523815,Expansion,Component III,0.019241376,1.54
3198,0.145820829,-0.000825669,0.086500258,0.165716348,0.121534801,Expansion,Component III,0.019293919,1.54
3197,0.145691181,-0.000889486,0.086438542,0.16591939,0.121545818,Expansion,Component III,0.01934802,1.54
