calBP,PrDens,lo,hi,LogisticFit,PhaseID,CompID,BRMspd,MeanFCRArea
9049,0.016805409,0.022066714,0.030948767,0.026078891,Intensification,Component I,0.027998665850996,0.16
9048,0.016902321,0.02209945,0.030919871,0.026084897,Intensification,Component I,0.028134133664997,0.16
9047,0.017005118,0.022166115,0.030865795,0.026090901,Intensification,Component I,0.028271409690727,0.16
9046,0.017113605,0.022154572,0.030894704,0.026096902,Intensification,Component I,0.028410543076803,0.16
9045,0.017227592,0.022217328,0.030908437,0.0261029,Intensification,Component I,0.028551582949965,0.16
9044,0.017347964,0.022235717,0.030884801,0.026108896,Intensification,Component I,0.028694439334663,0.16
9043,0.017474567,0.02228268,0.030861957,0.026114889,Intensification,Component I,0.028839155172308,0.16
9042,0.017607224,0.02233593,0.030836648,0.02612088,Intensification,Component I,0.028985766246528,0.16
9041,0.017745786,0.022352472,0.030773633,0.026126868,Intensification,Component I,0.029134299552405,0.16
9040,0.017890254,0.022374163,0.030773713,0.026132854,Intensification,Component I,0.029284771737374,0.16
9039,0.018039233,0.022400707,0.030764594,0.026138837,Intensification,Component I,0.02943473358395,0.16
9038,0.018192579,0.022432189,0.030739863,0.026144817,Intensification,Component I,0.029584182304041,0.16
9037,0.018350192,0.022470635,0.030712818,0.026150795,Intensification,Component I,0.029733115508973,0.16
9036,0.018511955,0.022532762,0.030686784,0.026156771,Intensification,Component I,0.029881531207058,0.16
9035,0.018677808,0.022596717,0.030659406,0.026162744,Intensification,Component I,0.030029427800524,0.16
9034,0.018846946,0.022637542,0.03062926,0.026168714,Intensification,Component I,0.030175466519514,0.16
9033,0.019019298,0.022695723,0.030608388,0.026174682,Intensification,Component I,0.030319667024529,0.16
9032,0.019194869,0.022755113,0.030581533,0.026180648,Intensification,Component I,0.030462054507672,0.16
9031,0.019373694,0.022778649,0.030597955,0.026186611,Intensification,Component I,0.030602658236081,0.16
9030,0.019555825,0.022830793,0.030614644,0.026192571,Intensification,Component I,0.030741510152472,0.16
9029,0.019741456,0.022890128,0.030601716,0.026198529,Intensification,Component I,0.030878761871971,0.16
9028,0.019930692,0.022921544,0.030536324,0.026204484,Intensification,Component I,0.031014427280746,0.16
9027,0.02012364,0.022964075,0.030471299,0.026210437,Intensification,Component I,0.031148525533861,0.16
9026,0.020320411,0.02299811,0.030405173,0.026216387,Intensification,Component I,0.031281080318171,0.16
9025,0.020521116,0.023036013,0.030338562,0.026222334,Intensification,Component I,0.031412119122213,0.16
9024,0.020724979,0.023115288,0.030269089,0.026228279,Intensification,Component I,0.031542673438277,0.16
9023,0.020931968,0.02316873,0.030207057,0.026234222,Intensification,Component I,0.031672741895167,0.16
9022,0.021142145,0.02321278,0.030159446,0.026240162,Intensification,Component I,0.031802327801548,0.16
9021,0.021355574,0.023245897,0.030182278,0.026246099,Intensification,Component I,0.031931438979234,0.16
9020,0.021572313,0.023296788,0.030216704,0.026252034,Intensification,Component I,0.032060087569188,0.16
9019,0.021790492,0.0233544,0.030250716,0.026257966,Intensification,Component I,0.032189920137043,0.16
9018,0.022010204,0.023407959,0.030284306,0.026263896,Intensification,Component I,0.032320983846399,0.16
9017,0.02223144,0.023432553,0.030277507,0.026269823,Intensification,Component I,0.032453328837412,0.16
9016,0.022454192,0.023442872,0.030239376,0.026275748,Intensification,Component I,0.032587007248508,0.16
